endpoint,layer,rep,status,latencyMs,ok,error
"star-coach","backend + external LLM",12,200,5977.31,true,""
"star-coach","backend + external LLM",13,200,5515.56,true,""
"star-coach","backend + external LLM",14,200,6071.55,true,""
"star-coach","backend + external LLM",15,200,5885.74,true,""
"star-coach","backend + external LLM",16,200,5758.23,true,""
"star-coach","backend + external LLM",17,200,5770.28,true,""
"star-coach","backend + external LLM",18,200,5331.33,true,""
"star-coach","backend + external LLM",19,200,5679.76,true,""
"star-coach","backend + external LLM",20,200,5560.99,true,""
"star-coach","backend + external LLM",21,200,5422.21,true,""
"star-coach","backend + external LLM",22,200,5550.44,true,""
"star-coach","backend + external LLM",23,200,5439.79,true,""
"star-coach","backend + external LLM",24,200,5557.05,true,""
"star-coach","backend + external LLM",25,200,5886.84,true,""
"star-coach","backend + external LLM",26,200,5268.11,true,""
"star-coach","backend + external LLM",27,200,5716.54,true,""
"star-coach","backend + external LLM",28,200,5947.21,true,""
"star-coach","backend + external LLM",29,200,6155.16,true,""
"star-coach","backend + external LLM",30,200,5925.57,true,""
"code-execute (javascript)","backend sandbox only",1,200,96.72,true,""
"code-execute (javascript)","backend sandbox only",2,200,91.83,true,""
"code-execute (javascript)","backend sandbox only",3,200,90.25,true,""
"code-execute (javascript)","backend sandbox only",4,200,99.7,true,""
"code-execute (javascript)","backend sandbox only",5,200,94.15,true,""
"code-execute (javascript)","backend sandbox only",6,200,91.65,true,""
"code-execute (javascript)","backend sandbox only",7,200,98.7,true,""
"code-execute (javascript)","backend sandbox only",8,200,91.65,true,""
"code-execute (javascript)","backend sandbox only",9,200,93.03,true,""
"code-execute (javascript)","backend sandbox only",10,200,95.46,true,""
"code-execute (javascript)","backend sandbox only",11,200,94.29,true,""
"code-execute (javascript)","backend sandbox only",12,200,97.47,true,""
"code-execute (javascript)","backend sandbox only",13,200,95.73,true,""
"code-execute (javascript)","backend sandbox only",14,200,88.55,true,""
"code-execute (javascript)","backend sandbox only",15,200,102.63,true,""
"code-execute (javascript)","backend sandbox only",16,200,97.44,true,""
"code-execute (javascript)","backend sandbox only",17,200,95.31,true,""
"code-execute (javascript)","backend sandbox only",18,200,91.68,true,""
"code-execute (javascript)","backend sandbox only",19,200,96.67,true,""
"code-execute (javascript)","backend sandbox only",20,200,94.32,true,""
"code-execute (javascript)","backend sandbox only",21,200,98.04,true,""
"code-execute (javascript)","backend sandbox only",22,200,91.01,true,""
"code-execute (javascript)","backend sandbox only",23,200,93.33,true,""
"code-execute (javascript)","backend sandbox only",24,200,105.64,true,""
"code-execute (javascript)","backend sandbox only",25,200,102.36,true,""
"code-execute (javascript)","backend sandbox only",26,200,90.72,true,""
"code-execute (javascript)","backend sandbox only",27,200,104.43,true,""
"code-execute (javascript)","backend sandbox only",28,200,102.36,true,""
"code-execute (javascript)","backend sandbox only",29,200,157.2,true,""
"code-execute (javascript)","backend sandbox only",30,200,105.82,true,""
"code-execute (python)","backend sandbox only",1,200,79.02,true,""
"code-execute (python)","backend sandbox only",2,200,83.32,true,""
"code-execute (python)","backend sandbox only",3,200,67.68,true,""
"code-execute (python)","backend sandbox only",4,200,86.49,true,""
"code-execute (python)","backend sandbox only",5,200,107.06,true,""
"code-execute (python)","backend sandbox only",6,200,78.83,true,""
"code-execute (python)","backend sandbox only",7,200,72.17,true,""
"code-execute (python)","backend sandbox only",8,200,141.44,true,""
"code-execute (python)","backend sandbox only",9,200,84.23,true,""
"code-execute (python)","backend sandbox only",10,200,77.33,true,""
"code-execute (python)","backend sandbox only",11,200,76.6,true,""
"code-execute (python)","backend sandbox only",12,200,90.92,true,""
"code-execute (python)","backend sandbox only",13,200,86.74,true,""
"code-execute (python)","backend sandbox only",14,200,77.92,true,""
"code-execute (python)","backend sandbox only",15,200,61.61,true,""
"code-execute (python)","backend sandbox only",16,200,72.46,true,""
"code-execute (python)","backend sandbox only",17,200,69.63,true,""
"code-execute (python)","backend sandbox only",18,200,66.34,true,""
"code-execute (python)","backend sandbox only",19,200,71.8,true,""
"code-execute (python)","backend sandbox only",20,200,68.31,true,""
"code-execute (python)","backend sandbox only",21,200,66.63,true,""
"code-execute (python)","backend sandbox only",22,200,66.6,true,""
"code-execute (python)","backend sandbox only",23,200,67.04,true,""
"code-execute (python)","backend sandbox only",24,200,70.63,true,""
"code-execute (python)","backend sandbox only",25,200,66.6,true,""
"code-execute (python)","backend sandbox only",26,200,70.35,true,""
"code-execute (python)","backend sandbox only",27,200,66.75,true,""
"code-execute (python)","backend sandbox only",28,200,68.08,true,""
"code-execute (python)","backend sandbox only",29,200,69.56,true,""
"code-execute (python)","backend sandbox only",30,200,69.91,true,""
"stt-token mint","backend + external ASR auth",1,200,386.9,true,""
"stt-token mint","backend + external ASR auth",2,200,552.23,true,""
"stt-token mint","backend + external ASR auth",3,200,1746.25,true,""
"stt-token mint","backend + external ASR auth",4,200,1147.47,true,""
"stt-token mint","backend + external ASR auth",5,200,1141.59,true,""
"stt-token mint","backend + external ASR auth",6,200,1904.15,true,""
"stt-token mint","backend + external ASR auth",7,200,298.49,true,""
"stt-token mint","backend + external ASR auth",8,200,301.39,true,""
"stt-token mint","backend + external ASR auth",9,200,459.47,true,""
"stt-token mint","backend + external ASR auth",10,200,310.87,true,""
"stt-token mint","backend + external ASR auth",11,200,280.82,true,""
"stt-token mint","backend + external ASR auth",12,200,323.18,true,""
"stt-token mint","backend + external ASR auth",13,200,355.77,true,""
"stt-token mint","backend + external ASR auth",14,200,309.68,true,""
"stt-token mint","backend + external ASR auth",15,200,320.61,true,""
"stt-token mint","backend + external ASR auth",16,200,332.15,true,""
"stt-token mint","backend + external ASR auth",17,200,300.72,true,""
"stt-token mint","backend + external ASR auth",18,200,302.54,true,""
"stt-token mint","backend + external ASR auth",19,200,326.08,true,""
"stt-token mint","backend + external ASR auth",20,200,502.25,true,""
"stt-token mint","backend + external ASR auth",21,200,305.45,true,""
"stt-token mint","backend + external ASR auth",22,200,339.53,true,""
"stt-token mint","backend + external ASR auth",23,200,345.43,true,""
"stt-token mint","backend + external ASR auth",24,200,305.33,true,""
"stt-token mint","backend + external ASR auth",25,200,354.51,true,""
"stt-token mint","backend + external ASR auth",26,200,381.68,true,""
"stt-token mint","backend + external ASR auth",27,200,1608.67,true,""
"stt-token mint","backend + external ASR auth",28,200,1401.32,true,""
"stt-token mint","backend + external ASR auth",29,200,803.51,true,""
"stt-token mint","backend + external ASR auth",30,200,769.78,true,""
